feature,perm_delta_24,rank_24,perm_delta_25,rank_25
p_innings_pitched_std_roll10,-0.00010649962790230117,313,0.00012871010919459635,103
p_pitches_max_roll3,-0.00010839676907306028,314,0.00013875868991846118,100
p_days_since_season_start,-0.00011006614839792483,315,2.9297312388965045e-05,192
p_pitches_std_roll20,-0.0001103888801677444,316,0.00010124600902698955,122
p_hits_per_ip_roll3,-0.00011108059000597414,317,8.849893604188087e-05,133
p_walks_std_roll10,-0.00011165688049152855,318,-7.776017253371403e-05,326
venue_hits_allowed_roll5,-0.000111738430611652,319,8.35844786738038e-05,136
p_fip_no_hr_roll10,-0.00011563154450953129,320,6.874392994116185e-06,214
p_bb_rate_roll10,-0.00011955515820849527,321,3.3615299265776774e-05,187
opp_batting_bb_rate_roll5,-0.0001200295794890005,322,-0.00010903813254594663,351
p_bb_rate_roll5,-0.00012053569444523405,323,-8.677464216504394e-05,339
p_bb_per_ip_roll10,-0.00012365032845520484,324,0.0001764419772833925,78
sc_csw_slope_roll8,-0.00012377451534726359,325,-2.2806806066966167e-05,276
p_strikes_career_avg_prior,-0.0001239298144513512,326,0.00012506822183586675,106
sc_swinging_strike_rate_avg_prior,-0.00012543578586199366,327,0.0005628878062265086,32
p_contact_rate_roll10,-0.00012731939843881878,328,0.00015607741594678704,88
p_bb9_roll5,-0.00012939882525000445,329,-4.437007506814527e-05,303
p_bb9_roll10,-0.0001367610520444984,330,1.4952019743241784e-05,206
umpire_walks_roll10,-0.00013829286545319341,331,0.0004024113000700602,44
p_innings_pitched_max_roll20,-0.00014204842847369558,332,-8.21006952838932e-05,330
p_strikes_roll10,-0.0001422386920618246,333,-0.0005200191534666665,401
p_high_pitch_rate_90_career_prior,-0.0001429649691047752,334,-0.00013218579588016865,360
p_strikeouts_std_roll5,-0.0001434823484760095,335,1.2049818799875211e-06,222
sc_called_strike_rate_roll10,-0.00014419509811345322,336,-0.00013276075921806463,361
p_k_per_ip_roll5,-0.00014466221663695934,337,2.9711796104670007e-05,191
venue_hits_allowed_roll20,-0.00014991908798667186,338,-2.565782491976698e-05,279
opp_lineup_bb_rate_prior,-0.0001542900369416067,339,-8.985859663028784e-05,342
p_strikeouts_std_roll10,-0.00015758805990042645,340,-5.1303113882239515e-05,310
p_strikeouts_roll3,-0.0001588626336978205,341,0.00017285820074810498,81
p_strike_rate_roll5,-0.00016021862415729337,342,-7.060187790528528e-05,323
p_hits_allowed_std_roll5,-0.00016251450812674318,343,0.00018479328781937366,77
league_k_rate_roll5,-0.0001633607510861168,344,-7.552283548142302e-05,325
p_high_pitch_rate_100_roll10,-0.0001653308275591403,345,-8.229786111435544e-05,333
p_k_roll10_vs_career,-0.0001658932758307863,346,-0.00020217498475740835,382
catcher_csr_avg_prior,-0.0001668388243068586,347,9.842423137356171e-05,127
